x[m],y[m],Q[W/m^2]
-0.0005,-0.0005,0
-0.0001666666667,-0.0005,0
0.0001666666667,-0.0005,0
0.0005,-0.0005,0
-0.0005,-0.0001666666667,0
-0.0001666666667,-0.0001666666667,22222.22222
0.0001666666667,-0.0001666666667,44444.44444
0.0005,-0.0001666666667,66666.66667
-0.0005,0.0001666666667,0
-0.0001666666667,0.0001666666667,44444.44444
0.0001666666667,0.0001666666667,88888.88889
0.0005,0.0001666666667,133333.3333
-0.0005,0.0005,0
-0.0001666666667,0.0005,66666.66667
0.0001666666667,0.0005,133333.3333
0.0005,0.0005,200000
